50	1	21.107	21.1747	21.2579	21.342	21.4281	21.5166	21.5973	21.675	21.7565	21.8457	
51	1	21.934	22.0227	22.1183	22.2128	22.3057	22.3976	22.4843	22.5676	22.6488	22.7278	
52	-1	22.8036	22.8766	22.9486	23.0168	23.0822	23.1446	23.1991	23.2481	23.2964	23.3481	
53	-1	23.3953	23.4406	23.4938	23.5428	23.5891	23.6331	23.664	23.6871	23.7116	23.7432	
54	-1	23.7706	23.7965	23.8336	23.8669	23.8979	23.9275	23.9452	23.9564	23.9689	23.9872	
55	-1	24.0028	24.0173	24.0386	24.058	24.0759	24.0932	24.1062	24.1169	24.1274	24.1381	
56	1	24.1483	24.159	24.1724	24.1859	24.2011	24.2178	24.2317	24.2451	24.2636	24.2912	
57	1	24.3203	24.3534	24.4006	24.4496	24.502	24.5581	24.6072	24.6546	24.709	24.7758	
58	1	24.8438	24.9153	25.0021	25.0897	25.179	25.2707	25.3545	25.435	25.5194	25.6111	
59	1	25.702	25.7931	25.8911	25.9877	26.0827	26.1766	26.2654	26.3505	26.4335	26.5142	
60	-1	26.5917	26.6664	26.7399	26.8096	26.8765	26.9402	26.996	27.0462	27.0958	27.1486	
61	-1	27.197	27.2433	27.2976	27.3475	27.3947	27.4395	27.4713	27.4952	27.5205	27.5529	
62	-1	27.581	27.6076	27.6453	27.6792	27.7108	27.7409	27.7592	27.7708	27.7839	27.8026	
63	-1	27.8187	27.8336	27.8552	27.875	27.8933	27.911	27.9242	27.9352	27.946	27.957	
64	1	27.9675	27.9784	27.992	28.0057	28.0211	28.0381	28.0521	28.0657	28.0844	28.1122	
65	1	28.1414	28.1746	28.2219	28.271	28.3236	28.3798	28.429	28.4764	28.5309	28.5979	
66	1	28.6659	28.7374	28.8243	28.9119	29.0013	29.093	29.1768	29.2574	29.3418	29.4336	
67	1	29.5245	29.6156	29.7136	29.8102	29.9053	29.9992	30.0879	30.1731	30.2561	30.3368	
68	-1	30.4143	30.489	30.5625	30.6321	30.699	30.7627	30.8186	30.8687	30.9183	30.9711	
69	-1	31.0194	31.0657	31.12	31.1699	31.2171	31.2619	31.2936	31.3175	31.3428	31.3751	
70	-1	31.4032	31.4297	31.4674	31.5013	31.5329	31.563	31.5812	31.5928	31.6058	31.6245	
71	-1	31.6406	31.6554	31.677	31.6968	31.715	31.7327	31.7459	31.7568	31.7676	31.7785	
72	0	31.7891	31.7996	31.8102	31.8211	31.8327	31.8451	31.8586	31.8733	31.8894	31.9072	
73	0.707	31.9239	31.9443	31.9758	32.0096	32.0467	32.0873	32.1239	32.1602	32.2023	32.2542	
74	1	32.3062	32.3624	32.4349	32.5088	32.5851	32.6642	32.7358	32.8047	32.8779	32.9591	
75	0.707	33.0408	33.1227	33.2093	33.2948	33.3789	33.4619	33.5408	33.6167	33.6906	33.7623	
76	0	33.8312	33.897	33.9596	34.0188	34.0745	34.1266	34.175	34.2196	34.2603	34.2971	
77	-0.707	34.3271	34.3551	34.3882	34.4175	34.4442	34.4685	34.4829	34.491	34.4995	34.5124	
78	-1	34.5201	34.5271	34.5461	34.5622	34.5766	34.5902	34.5926	34.5891	34.5877	34.5925	
79	-0.707	34.5964	34.5991	34.6063	34.612	34.6165	34.6205	34.6215	34.621	34.6205	34.6204	
80	1	34.6203	34.6211	34.6249	34.6293	34.6358	34.6442	34.65	34.6558	34.6669	34.6875	
81	1	34.7099	34.7365	34.7776	34.8208	34.8676	34.9184	34.9624	35.0047	35.0544	35.1168	
82	1	35.1805	35.2479	35.3309	35.4148	35.5007	35.5889	35.6695	35.7469	35.8282	35.9171	
83	1	36.0053	36.0937	36.1891	36.2834	36.3761	36.4677	36.5543	36.6374	36.7183	36.7971	
84	-1	36.8727	36.9455	37.0173	37.0852	37.1505	37.2127	37.267	37.3157	37.3639	37.4153	
85	-1	37.4623	37.5074	37.5605	37.6092	37.6553	37.6991	37.7298	37.7527	37.777	37.8085	
86	-1	37.8357	37.8614	37.8982	37.9314	37.9622	37.9916	38.0091	38.0201	38.0324	38.0505	
87	-1	38.066	38.0803	38.1014	38.1206	38.1383	38.1555	38.1682	38.1788	38.1891	38.1996	
88	0	38.2098	38.2199	38.2301	38.2407	38.2519	38.264	38.2772	38.2916	38.3075	38.3249	
89	0.707	38.3413	38.3615	38.3928	38.4262	38.4631	38.5036	38.54	38.5759	38.6179	38.6696	
90	1	38.7214	38.7775	38.8497	38.9235	38.9996	39.0785	39.15	39.2187	39.2918	39.3728	
91	0.707	39.4545	39.5362	39.6227	39.7081	39.7921	39.875	39.9538	40.0296	40.1033	40.1749	
92	0	40.2437	40.3094	40.3719	40.431	40.4866	40.5386	40.5869	40.6315	40.6721	40.7088	
93	-0.707	40.7387	40.7666	40.7996	40.8288	40.8554	40.8797	40.894	40.9021	40.9105	40.9233	
94	-1	40.9309	40.9378	40.9568	40.9728	40.9871	41.0007	41.0031	40.9995	40.998	41.0028	
95	-0.707	41.0066	41.0092	41.0164	41.022	41.0265	41.0305	41.0314	41.0308	41.0303	41.0302	
96	0	41.0301	41.0304	41.0312	41.0328	41.0355	41.0393	41.0446	41.0514	41.0601	41.0706	
97	0.707	41.0804	41.0942	41.1195	41.1471	41.1785	41.2136	41.245	41.2761	41.3134	41.3607	
98	1	41.4083	41.4603	41.5288	41.5989	41.6716	41.7472	41.8155	41.8812	41.9513	42.0295	
99	0.707	42.1085	42.1877	42.2718	42.3548	42.4366	42.5173	42.594	42.6678	42.7396	42.8094	
100	0	42.8764	42.9404	43.0012	43.0587	43.1128	43.1633	43.2102	43.2534	43.2927	43.3281	
101	-0.707	43.3569	43.3836	43.4155	43.4436	43.4692	43.4926	43.5059	43.5131	43.5206	43.5326	
102	-1	43.5394	43.5456	43.5638	43.5791	43.5928	43.6057	43.6075	43.6033	43.6012	43.6055	
103	-0.707	43.6088	43.6109	43.6176	43.6228	43.6268	43.6304	43.6308	43.6299	43.629	43.6285	
104	1	43.628	43.6284	43.6319	43.636	43.6421	43.6502	43.6557	43.6612	43.672	43.6923	
105	1	43.7144	43.7408	43.7817	43.8246	43.8712	43.9217	43.9655	44.0076	44.0571	44.1193	
106	1	44.1828	44.2501	44.3329	44.4166	44.5023	44.5904	44.6708	44.7481	44.8293	44.918	
107	1	45.0061	45.0944	45.1897	45.2838	45.3764	45.4679	45.5544	45.6373	45.7182	45.7969	
108	-1	45.8724	45.9451	46.0168	46.0846	46.1498	46.2118	46.2661	46.3147	46.3628	46.4141	
109	-1	46.4611	46.5061	46.5591	46.6077	46.6538	46.6974	46.7281	46.7509	46.7752	46.8065	
110	-1	46.8337	46.8593	46.8961	46.9292	46.96	46.9893	47.0067	47.0176	47.0299	47.048	
111	-1	47.0634	47.0776	47.0986	47.1178	47.1355	47.1526	47.1653	47.1758	47.186	47.1965	
112	0	47.2067	47.2167	47.2269	47.2374	47.2486	47.2606	47.2737	47.2881	47.3039	47.3213	
113	0.707	47.3377	47.3578	47.3891	47.4225	47.4593	47.4997	47.5361	47.572	47.6139	47.6656	
114	1	47.7174	47.7734	47.8456	47.9193	47.9954	48.0743	48.1458	48.2144	48.2874	48.3684	
115	0.707	48.4501	48.5317	48.6182	48.7036	48.7875	48.8704	48.9491	49.0249	49.0986	49.1701	
116	0	49.2389	49.3046	49.367	49.4261	49.4817	49.5336	49.5819	49.6264	49.667	49.7036	
117	-0.707	49.7335	49.7614	49.7943	49.8235	49.8501	49.8744	49.8886	49.8967	49.905	49.9178	
118	-1	49.9254	49.9323	49.9512	49.9672	49.9815	49.9951	49.9974	49.9938	49.9922	49.997	
119	-0.707	50.0007	50.0034	50.0104	50.0161	50.0205	50.0245	50.0253	50.0247	50.0242	50.024	
120	1	50.0238	50.0245	50.0283	50.0326	50.039	50.0473	50.0531	50.0588	50.0698	50.0903	
121	1	50.1126	50.1391	50.1802	50.2233	50.27	50.3207	50.3646	50.4069	50.4566	50.5189	
122	1	50.5825	50.6499	50.7327	50.8166	50.9024	50.9906	51.0711	51.1484	51.2297	51.3185	
123	1	51.4066	51.4949	51.5903	51.6845	51.7771	51.8687	51.9552	52.0382	52.1191	52.1978	
124	-1	52.2734	52.3462	52.4178	52.4857	52.5509	52.613	52.6673	52.7159	52.7641	52.8154	
125	-1	52.8624	52.9074	52.9604	53.0091	53.0551	53.0988	53.1295	53.1523	53.1766	53.208	
126	-1	53.2351	53.2607	53.2975	53.3307	53.3614	53.3907	53.4082	53.4191	53.4314	53.4494	
127	-1	53.4648	53.4791	53.5001	53.5193	53.5369	53.5541	53.5667	53.5772	53.5875	53.5979	
128	1	53.608	53.6184	53.6315	53.6448	53.6598	53.6763	53.6899	53.7032	53.7214	53.7488	
129	1	53.7776	53.8105	53.8575	53.9063	53.9585	54.0144	54.0633	54.1104	54.1646	54.2313	
130	1	54.299	54.3703	54.4569	54.5443	54.6334	54.7249	54.8085	54.8888	54.973	55.0645	
131	1	55.1553	55.2461	55.3439	55.4403	55.5352	55.6289	55.7174	55.8024	55.8852	55.9657	
132	-1	56.043	56.1175	56.1908	56.2603	56.327	56.3905	56.4462	56.4962	56.5456	56.5982	
133	-1	56.6464	56.6925	56.7466	56.7963	56.8434	56.888	56.9196	56.9433	56.9684	57.0007	
134	-1	57.0286	57.055	57.0925	57.1263	57.1577	57.1876	57.2057	57.2172	57.23	57.2486	
135	-1	57.2645	57.2793	57.3007	57.3204	57.3384	57.356	57.369	57.3799	57.3905	57.4013	
136	1	57.4116	57.4224	57.4358	57.4494	57.4646	57.4815	57.4953	57.5088	57.5273	57.5549	
137	1	57.5839	57.617	57.6642	57.7131	57.7655	57.8215	57.8706	57.9179	57.9722	58.039	
138	1	58.1069	58.1783	58.265	58.3525	58.4418	58.5333	58.617	58.6974	58.7817	58.8733	
139	1	58.9641	59.055	59.1529	59.2494	59.3443	59.4381	59.5267	59.6117	59.6946	59.7752	
140	-1	59.8525	59.927	60.0004	60.0699	60.1367	60.2002	60.2559	60.306	60.3554	60.4081	
141	-1	60.4563	60.5024	60.5565	60.6063	60.6534	60.6981	60.7297	60.7534	60.7786	60.8108	
142	-1	60.8387	60.8651	60.9027	60.9365	60.9679	60.9979	61.0159	61.0274	61.0403	61.0589	
143	-1	61.0748	61.0896	61.111	61.1307	61.1488	61.1663	61.1794	61.1902	61.2008	61.2117	
144	0	61.2222	61.2325	61.2429	61.2538	61.2652	61.2775	61.2909	61.3055	61.3215	61.3391	
145	0.707	61.3557	61.376	61.4074	61.441	61.478	61.5186	61.5551	61.5912	61.6332	61.685	
146	1	61.7369	61.793	61.8654	61.9391	62.0153	62.0943	62.1659	62.2346	62.3077	62.3888	
